scene_id,angle,psnr,ssim,lpips
chestofdrawers_0004,front,35.996,0.984798,0.01963
chestofdrawers_0004,back,31.9334,0.989355,0.022279
chestofdrawers_0004,left,43.6438,0.995214,0.010169
chestofdrawers_0004,right,34.9631,0.99446,0.017663
chestofdrawers_0004,top_front_left,38.5505,0.991786,0.024947
chestofdrawers_0004,top_front_right,39.9801,0.992191,0.018303
chestofdrawers_0011,front,33.4534,0.991419,0.011338
chestofdrawers_0011,back,40.2048,0.994827,0.014324
chestofdrawers_0011,left,34.6969,0.996026,0.013961
chestofdrawers_0011,right,38.1302,0.992991,0.011418
chestofdrawers_0011,top_front_left,37.2142,0.992726,0.025168
chestofdrawers_0011,top_front_right,34.1116,0.987595,0.024475
chestofdrawers_0023,front,32.1739,0.983586,0.030928
chestofdrawers_0023,back,30.6873,0.980273,0.024883
chestofdrawers_0023,left,30.7357,0.991607,0.024753
chestofdrawers_0023,right,23.1106,0.985546,0.032698
chestofdrawers_0023,top_front_left,35.26,0.987217,0.041973
chestofdrawers_0023,top_front_right,31.5671,0.986723,0.036605
chestofdrawers_0029,front,34.5949,0.984184,0.017072
chestofdrawers_0029,back,31.6839,0.987887,0.017635
chestofdrawers_0029,left,43.206,0.994869,0.009386
chestofdrawers_0029,right,34.9913,0.994168,0.00948
chestofdrawers_0029,top_front_left,42.9635,0.993375,0.013604
chestofdrawers_0029,top_front_right,38.6369,0.991286,0.016383
