effect,condition,sample_count,available_count,static_gate_passed_count,static_gate_failed_count,planned_output_missing_count,missing_count,other_non_available_count,active_mdl_zero_count,target_category_count
clearcoat,original_MDL,1,1,1,0,0,0,0,0,1
clearcoat,existing_noMDL,1,1,1,0,0,0,0,1,1
clearcoat,nvidia_asset_converter_preview_or_bake,1,0,0,1,0,0,0,1,1
opacity_transparency,original_MDL,7,7,7,0,0,0,0,0,2
opacity_transparency,existing_noMDL,7,7,7,0,0,0,0,7,2
opacity_transparency,nvidia_asset_converter_preview_or_bake,7,7,7,0,0,0,0,7,2
emission,original_MDL,26,26,26,0,0,0,0,0,7
emission,existing_noMDL,26,26,26,0,0,0,0,26,7
emission,nvidia_asset_converter_preview_or_bake,26,26,26,0,0,0,0,26,7
procedural_texture,original_MDL,1,1,1,0,0,0,0,0,1
procedural_texture,existing_noMDL,1,1,1,0,0,0,0,1,1
procedural_texture,nvidia_asset_converter_preview_or_bake,1,1,1,0,0,0,0,1,1
normal_bump,original_MDL,30,30,30,0,0,0,0,0,8
normal_bump,existing_noMDL,30,30,30,0,0,0,0,30,8
normal_bump,nvidia_asset_converter_preview_or_bake,30,30,30,0,0,0,0,30,8
displacement_height,original_MDL,26,26,26,0,0,0,0,0,7
displacement_height,existing_noMDL,26,26,26,0,0,0,0,26,7
displacement_height,nvidia_asset_converter_preview_or_bake,26,26,26,0,0,0,0,26,7
